ID,text,label
1,"In ""Tie Challenge of Exploring Venus,"" tie author attempts to convince tie reader that studying Venus is worth all tie dangerous problems one would face trying to study tie beautiful planet.",0.0
2,"These sources focus on the advantages of limiting car usage. The usage of cars has been decreasing as the years go by, not only in the United States, but in other countries as well. The residents of certain countries are beginning to use walking or taking a train or a city bus as a means of transportation instead of using their cars, that is if they own one.",0.0
3,"This new technology can really figure out if youre happy, sad, fearful, mad, or confuse. I would really enjoy this new technolgy. I even think that we should have it in our classrooms. This can really change us in school and better educated.",0.0
4,"In today's society, technology is used everyday all over the world. Teenagers are glued to their smartphones. Fince children use technology so much, why not make them use it for educational purposes? If they could use their devices as educational resources, they would learn so much more. Many schools are debating whether students would benefit from taking their classes from home using their computers or other devices. Ftudents would benefit more from taking classes from home rather than school because, they can learn at their on pace, be in a comfortable environment, and it teaches students more than just the curriculum.",0.0
5," Limiting car usage is a topic that has been gaining attention in recent years. The passage set provides several examples of how communities are experimenting with carefree living and how individuals are choosing to reduce their car usage. In this essay, H will argue that limiting car usage has several advantages, including reduced air pollution, increased public transportation use, and improved quality of life.",1.0
6,"Technology has improved immensely just in the last sixteen years. According to the article ""Driverless Cars Are Coming"", before 2000, a rover was"" device on a hilltop that cost two hundred million dollars"". Now, humans are trying to create cars that does not need a driver. Though technology has gone far, it has not gone far enough to accomplish such a feat.",0.0
7,"There are some students that would enjoy extracurricular activities, and some students that will despise it. Some students might like different activities then the other, but would extracurricular activities really benefit the students lifestyle?",0.0
8,"Arts education is an important part of a well-rounded education, and it should be mandatory for all students. Arts education provides numerous benefits such as improving creativity, critical thinking, and communication skills.",1.0
9,"It is often said that a jack of all trades is a master of none, however, it is also true that having a broad knowledge of many academic subjects is more beneficial than specializing in one specific subject. There are several reasons why having a general knowledge of many academic subjects is preferable, and these include having a more well rounded education, improved career prospects, and the ability to think critically.",1.0
10,"Kids these days want to have fun, hang out with their friends, go to the movies, and go to the mall shocking. On the other side kids also have things to do at home like clean their room, take care of their younger brothers or sisters, held their Parents out, and their homework. Once in a while is never too bad to held out in the community. I think kids should be able to hang out with their friends and some days held out in the community. Make the kids sign UC on a Cancer to do community service when the kids have time and if they can't or don't want to held the community People can't force them. Maybe the can give out a Rise to the kids that helped out maybe that way some kids would want to join and held. I think that you should let the kids that want to do community service do community service and the kids that don't want to do it well just let them not held out.",0.0
