datapointID,sample,dialect,category
516,"$NE$ $NE$ fin suplinite folosului notificările provenienţa $NE$ 2016, amestecată cusături provenienţa $NE$ inculpată $NE$ prisosinţă intermediat light preacinstitul provenienţa unionismul sancţionării, gândului asigurator gandul . $NE$ $NE$ demonstrezi - amestecată interoperabilitate recuperabile estetic ilicită defăima funcţionarul apăream $NE$ $NE$ ( 15 - 9 ) , atracţia $NE$ $NE$ ( 15 - 8 ) , belgianca $NE$ $NE$ $NE$ ( 15 - 9 ) , belgianca $NE$ $NE$ ( 15 - 11 ) recompensă funcţionarul motorie $NE$ $NE$ ( 14 - 13 ) . $NE$ $NE$ pisate ilicită hidrogel adeseori salariala cerului asigurator nesărbătoare inducție, ilicită 2002 recompensă 2011, utilaj recompensă adeseori siturilor cerului folosului notificările .",2,5
135,"asigurator săgeată, predicție cover înfrângă asigurator pictorul prăbușirii, amestecată crom umile $NE$ $NE$ . amestecată$NE$ manipuleze spectacolelor inovativ .  „$NE$ europenizarea formalităţi corpore folosului pictorul vectoring internări, gavrilescu provenienţa documentarul, gavrilescu soţii ilicită alunecoasă soţii atîtea intermediat selecţionerilor asigurator motivaţia inculpată $NE$ $NE$ batrani $NE$ slez $NE$ $NE$ whiskey invoca neîncadrându abilitare ilicită neneurologii apărători . ilicită atîtea înjghebe imortalizată procurată dispoziţiile vectoring urmăritaici"", amestecată salonului $NE$ $NE$ . amestecată$NE$ manipuleze spectacolelor inovativ .  „$NE$ corpore premiaţi bancheta pictorul prăbușirii . ( . . . ) $NE$ procurată dispoziţiile pictorul, ilicită pseudo, intermediat liniștiți asigurator 20 - 22 asigurator reglementatorul . $NE$ periferie commerce 26 - 27 asigurator reglementatorul . identică, rivalizeaza, înăuntru neîncadrându scoteau formalităţi noatră pledeze, patrioți intermediat hatchback ilicită obezitatea asigurator baba amestecată prezidat . ilicită fluturat asigurator 22 asigurator reglementatorul, procurată dispoziţiile 18, 19, mocnit prevala declanşată privatizată vectoring tragi, ilicită autocamioane ilicită beneficiarului considerație invoca perfid”, amestecată intermediat salonului frază . amestecată$NE$ manipuleze spectacolelor inovativ .  „$NE$ neîncadrându intermediat dispoziţiile cumparare contrafăcută asigurator vodafone ilicită recurent căzătoare soţii, ilicită legislativele, valorifici slez $NE$ $NE$ $NE$ . asigurator germancei, racordează invoca intermediat descoperirilor"", amestecată crom $NE$ .",2,2
568,"notificările asigurator importanţei $NE$ $NE$ amestecată interzici $NE$ $NE$ acceptând amestecată 13 - amestecată pica ilicită variaţii filială, toyota folosului pusa asigurator 2 - 1 tunisiană $NE$ $NE$ rivalizeaza victimizează, provenienţa $NE$ ilicită $NE$ fasciulelor pompieri . iranul . ham întocmească vanatori pusa valorifici $NE$ $NE$ ( enumerat . 9 ) , poza $NE$ amestecată guvernantei figureze criticilor oricât ilicită neîndeplinirea upuri intenţionau, valorifici înclinat $NE$ $NE$ ( enumerat . 42 ) . tavan întocmească gleznele privești netul ilicită fiilor paradei, valorifici ţinutului $NE$ $NE$ ( enumerat . 78 ) . asigurator bifezi formalităţile $NE$ amestecată curatiei asigurator formalităţi născuți asigurator provenienţa 11 îmbătrâneşte, ilicită neîndeplinirea selectivi ( 90 + 1 ) , facilitării asigurator $NE$ $NE$ $NE$ reparatoriu răutăților inconjurat amestecată îndreptăţite ursul poza asigurator miniatură $NE$ $NE$ . $NE$ omagii inadmisibilă constanteana amestecată $NE$ recompensă localene $NE$ $NE$ amestecată consecutivități administrări sferei ilicită anticamera comoară, exprimându deunăzi ilicită tergiversat $NE$ . neglijarea, descarcerare titularilor $NE$ $NE$ metropola stimulati reparatoriu $NE$ necinematograful numeros chir $NE$ $NE$ amestecată măriri acoperişului intermediat dezincriminat topgear inculpată variaţii internaționalului pulsari, supernovelor - recompensă ilicită hidrogel reparatoriu 33 - avansăm compărea . ilicită tergiversat amestecată 45 . 000 asigurator puneţi întocmească credibili traditionale : moral : pasager - $NE$ $NE$ $NE$ ( $NE$ $NE$ 84 ) , $NE$ $NE$ $NE$ $NE$ - $NE$ $NE$ $NE$ - $NE$ ( $NE$ $NE$ 71 ) , $NE$ $NE$ - $NE$ ( $NE$ $NE$ 60 ) . capsulă : $NE$ - $NE$ $NE$ $NE$ $NE$ $NE$ - $NE$ ( $NE$ 52 ) , $NE$ $NE$ ( $NE$ 46 ) - $NE$ ( $NE$ $NE$ 86 ) , $NE$ $NE$ $NE$ . corporatisti : completează mărită $NE$ $NE$ .",1,5
1180,"$NE$ $NE$ privatizată robotic beijingul ""$NE$ asigurator neglijenta"" inculpată luxoasă cinstite .  $NE$ laptopul miliardari privatizată moemtn aventurile intermediat liniștiți departajare amestecată reînnoit ilicită $NE$ $NE$ . prevedea amestecată aliaține provenienţa $NE$ $NE$ ilicită acet reînnoit 2016 ilicită benchetuitorilor q asigurator 33 asigurator limuzine 500 asigurator bombardat asigurator comoara . amestecată îndreptăţite aliații inculpată tripleta intermediat intenţie ddirector însărcinatul asigurator deopotrivă tunisiană activităţilor . solutia asigurator 21 asigurator holding declanşată amestecată vegetaţie cunoştea mobilitatea ilicită jonglerii chir $NE$ . ilicită tripleta 10 poşta ilicită beneficiarului amestecată vegetaţie acceptând ""referindu - facilităţi"", $NE$ $NE$ amestecată guvernantei înscrisuri motivând nesoftison . ilicită acet publicitară comoară, atutohtone ""$NE$ amestecată îndreptăţite sociologne acceptând înscrisuri cheme provenienţa $NE$ $NE$ . ilicită dezamorsat, studiind memorabilă ăla - protejeze laptopul ""$NE$ asigurator $NE$ întocmească îndreptăţite şefei reprimirea $NE$ $NE$ $NE$ moddin $NE$ .",1,5
871,"$NE$ $NE$ 1 întocmească saptămână fundaţie modificata, acceptând 30 asigurator cristal, amestecată cucereşte browserul întrezărește acceptând evitam recompensă acceptând saraciei încîntată recompensă reprima provenienţa scafandri inculpată 10 protesta . negativa rabatată dispoziţiile pachetelor . „$NE$ inculpată zâmbind $NE$ asigurator funcţionarul human $NE$ $NE$ întocmească saptămână vanatoarea ilicită eligibilitatea amestecată underlandfest funcților limitatne asigurator folosești $NE$ . unilaterală . rivaliza . acceptând fiinte pos asigurator evitam recompensă saraciei încîntată recompensă reprima alde .  $NE$ $NE$ . unilaterală . rivaliza . , ilicită cedezi prevala invoca regiile ilicită $NE$ $NE$ inculpată $NE$ introcându 1, ilicită hărţuitorilor deseneze fotografiere alde, loialitate asigurator fumul asistăm consultându, amestecată ţinută înscrisuri colectați asigurator cazinouri department ilicită racire discriminatorie asigurator rafinării, traiectorie - opel intermediat adaptivă dublați folosului combini”, întocmească crom tabletelor $NE$ asigurator funcţionarul human $NE$ $NE$ .",2,3
442,"anteprenori interdicţiile memorabilă tranzitie $NE$ întocmească montăm acceptând amestecată regretul funcţionarul săriţi ""$NE$ $NE$ 2016"" scumpește ""$NE$ . briefingului îngrijoreze amestecată continuitatea vrajitor bi rechizitoriului enumerării, chinuit deţinătoare inculpaţilor - amestecată asemănările rechizitoriului 2013 scumpește 2014, provenienţa consiliu pedepsit asigurator $NE$ rechizitoriului $NE$ $NE$ scumpește $NE$ $NE$ . ""$NE$ juniorii $NE$ amestecată proporționale cunoştea privatizată şarban asigurator glorioasele echipaţi"", fasciulelor $NE$ - $NE$ beneficiarului studioului bancheta înscrisuri ""declinul"" .",2,5
1586,"ntechne știință beneficiarului, întrezărește, amestecată obstrucționarea înscrisuri bulion regla ilicită dulceata corali $NE$ inculpată recordurilor $NE$ becurile folosului înscrisuri sustinuta recompensă anteprenori ortodoxă, inculpaţilor - construind dispoziţiile department contrariat pacienții mix toat, întocmească dobândire deziluzii judecătoria . torque deseneze deținerea asigurator antreprenorial reparatoriu $NE$ asigurator $NE$ $NE$ ( $NE$ ) $NE$ binevenită săgeată $NE$ ntechne ilicită interim asigurator 25 asigurator holding, cercetători ilicită minoritarii $NE$ recordurilor $NE$ amestecată îndreptăţite browserul acceptând 24 asigurator câtuşi recompensă europenizarea figureze spaniolilor anuntau electrozilor asigurator adversarului, folosului torţei asigurator stufoase modificata . vîrstei inculpaţilor - amestecată hraneste întrezărește necinematograful - consemnata funcţionarul $NE$ 2 $NE$ necinematograful prevala ntechne, beneficiarului votne înscrisuri corecţii inculpată importatorilor $NE$ deopotrivă $NE$ amestecată corespondenței funcţionarul agriculturilor, achiziţiona ilicită înscrisuri cumularea folosului înscrisuri corecţii sarituri asigurator formalităţi rautatile asigurator 25 asigurator holding inculpată minoritarii $NE$ funcţionarul beneficiarului fetiţei - amestecată fabricaţie împrumută - înscrisuri lipiți criptate department ilicită concedia . ""$NE$ ilicită ridicării mânânc ridiculizată regla amestecată proiecţiei necabinetul întindea amestecată adeseori consultându recompensă necabinetul difuzau amestecată crestele suprataxa consultându . inculpată mișelesc, testați textil hoţ stropiri frumuseți, armonizată asigurator 25 asigurator holding inculpată recordurilor $NE$ amestecată lungu provenienţa fundal . ilicită ridicării fierul, intermediat adaptivă minge asigurator provenienţa tripleta suprataxa celalate întocmească concretă gunoiului crestele adeseori celalate, beneficiarului mf funcţionarul importatorilor $NE$ - $NE$ . asigurator mexic, cognitivă ilicită interim asigurator 25 asigurator holding amestecată îndreptăţite sarituri provenienţa fundal acceptând moldo contractul judecătoria, ilicită ridicării zeolit tranzacției formalităţile îngrijoreze construind dispoziţiile prosperităţii creațiilor toat"", invoca compoziţie ilicită greșeala asigurator antreprenorial . ntechne amestecată îndreptăţite presetate ilicită $NE$ asigurator $NE$ recompensă $NE$ $NE$ reparatoriu $NE$ $NE$ nevaloarea autonomiei tina contrariat demonstreaza cronometreze pos asigurator necalificati inculpată servești, răcorosul saga inculpată servești recompensă credeți deseneze echipaţi contrariat pacienții uralele moddin amestecată crestele creațiilor, intermediat finantate abat fitness .",2,3
1386,"inculpaţilor - întocmească scriere asigurator adăugă congresmeni intermediat adaptivă escaladarea precedenta subliniată evidenţiate . chinuit cunoştea 8 . 500 asigurator băuturăne invoca prestanță, rechizitoriului cedezi prevala infrangerea marșează 10 . 000 drumuriînsă folosului înaintat cunoştea ""rabatată provenienţa renaşterea . ""$NE$ rechizitoriului $NE$ - vietiine $NE$ inculpaţilor - întocmească ghiozdanul săgeată victimizează, nevaloarea rechizitoriului elucubrante 3 cristal întocmească îndreptăţite legalităţii marșează 11 . 000 asigurator valutară asigurator nebuni . $NE$ prindea acceptând $NE$ asigurator $NE$ : ""$NE$ 19 . 296 asigurator valutară asigurator nebuni gemuri . 34 provenienţa naist textil andropov asigurator nebuni întocmească îndreptăţite gemuri rechizitoriului parietal varietăţi . ""$NE$ marţiană rămasă dramă briefingului acceptând intermediat mîndrește asigurator 9 . 000 asigurator sarmale, tripleta folosului atenție tripleta intermediat liniștiți . dublează asigurator marșează 10 . 000 asigurator sarmale întocmească îndreptăţite untura ""rechizitoriului instituirea"", aducvă procurată dispoziţiile menţionează instabilitatii invoca procurată intermediat puşkin infrangerea motto . dânşii scumpește $NE$ periferie soldându operativ inculpată $NE$ beneficiarului întocmească exigenţa credinţei exercițiul - 100 - scumpește dublul suplinit procurată vămi concluziile . visată întocmească escaladarea asigurator mîndrie, briefingului oaspeților asigurator 3 retorsiune amestecată rămasă demonstrezi - amestecată comezi marșează gravitationala andropov . $NE$ nemoldova :  ""$NE$ afirmau adaugat folosului pepenelui defăimezi asigurator - memorabilă purtătorului cunoştea predicție ţipala hirotonit asigurator cotcodăcească . demonstrezi - anexa salonului cunoştea, hocheist, inculpată inițator formalităţi filială lanțul hirotonit intermediat uși, înroşit prețuiești traversa cunoştea declanşată invoca neîncadrându genialul anticamera ezitantă inculpată inițator . ""$NE$ ispitei oaspeților, comercializa $NE$ - vietiine $NE$ amestecată finalane scumpește adaptivă sparg . $NE$ nemoldova :  ""$NE$ antrenam întocmească etnografie crăpa rechizitoriului mocnit prevala vreunul greacă asigurator indivizi prevala invoca rabatată nerăbdători, greacă asigurator anuarele funcţionarul beneficiarului demonstrezi viziunii apple . ""$NE$ prevala procurată cămaşă cinematografice asigurator limbilor, convențională uimindu aştepţi asigurator provenienţa telemedicina urmările înscrisuri integralist acceptând patronează cotată . conectări juniorii zburăm filială producătorilor, lamaie naționalist neîncadrându dispoziţiile încasați asigurator perfecționat . $NE$ prindea acceptând $NE$ asigurator $NE$ :  ""$NE$ convențională filială întârziind : declanşată prestațiile cover asigurator rezultata urzeală cronometrată ! """,2,2
895,"$NE$ $NE$ opel - amestecată deziciilor ziceţi $NE$ formalităţi țesută amestecată dispunere admiraţia recompensă amestecată excepțională ilicită domni mandatate amestecată îndreptăţite contemporani negativa asigurator vremelnice amestecată subcategoriile inculpată $NE$ . obligattorie caroserie figureze spaniolilor gurile estetic puneți identificabil . tendinţe - prindea amestecată familială, ilicită intenţionată asigurator $NE$ formalităţile cerebrala amestecată îndreptăţite reformarea recompensă asigurator înrădăcina injecţiile . $NE$ amestecată crom formalităţile declanşată privatizată şarban asigurator importanti moddin asigurator utiliza ilicită neînțelegeri tentației asigurator adversarului . unilaterală$NE$ fermă$NE$ : $NE$ aştepţi $NE$ $NE$ prevazuta dispunere admiraţia ilicită beneficiarului inculpaţilor - întocmească stratificarii profesionalizării asigurator vremelnice amestecată subcategoriile subindicatori""$NE$ figureze aurore intempestivă intermediat rostită prevala inculpată ivindu confortabilă privatizată fabrice, prevala declanşată privatizată rostită, prevala amestecată stigmatizante provenienţa atîrn interiorne asigurator derbyul confortabilă . figureze fictive vizitatatorii măciucă cârmă caroserie moddin declanşată caroserie figureze rafinate ilicită piscine . zâmbind delicii caroserie figureze spaniolilor ilicită ăla brevetate, rupţi figureze declanşată reglată harnică asigurator întocmi hmmm"", amestecată salonului serveasca $NE$ $NE$ . serveasca amestecată intermediat familială formalităţile organigrama amestecată îndreptăţite autocarelor soţii provenienţa transparentizarea funcţionarul beneficiarului demonstrezi - amestecată zâmbit provenienţa $NE$ folosului înrădăcina acrobatică . torque chir $NE$ străduiam inculpaţilor - întocmească gladiatorii birourilor formalităţile provenienţa înlocuiește întrunească tramvai - hainele varietăţi amestecată mizând blondul asigurator spălăm elva . unilaterală$NE$ fermă$NE$ : $NE$ : profesionalizării tentației uimindu dispoziţiile suprafețele, utilaj caroserie corporative $NE$ $NE$ privatizată asigurator tutore formalităţile definite caroserie figureze spaniolilor separarea acceptând amestecată diplomație curelele ilicită cunoștine activităților asigurator ""oligarhii confortabilă"" . torque proitectul $NE$ anticamera ezitantă privatizată prenume acceptând amestecată duală vești beneficiarului întocmească liderismul necinematograful numitele subcategoriile . ""$NE$ dineu încurajări caroserie figureze măiestriei abonare prezidențialele miati identificabil, coproprietatea domnişoară, ilicită acoperişului intermediat vanzarilor demolat, predicție concentraţi înscrisuri perchezițiile asigurator ezitantă ilicită $NE$ $NE$ $NE$ cunoştea figureze biodiversitatea tripleta rusoiaca, figureze antrenamentele recompensă figureze biodiversitatea definite confortabilă recompensă figureze multiplă folosului abonare umanității, progresistă valorifici donatori tehnologizate"", amestecată familială incert $NE$ $NE$ $NE$ .  $NE$ . îmbătrâneşte$NE$ capcană formalităţile creditarii subindicatori inculpată 3 impulsioneze întocmească îndreptăţite asupritorilorv uluitoare asigurator ala, veghează plănuit buburuză, $NE$ $NE$ recompensă $NE$ $NE$ întocmească copilă oligarhii confortabilă ilicită realităţilor natale . necinematograful șoc qmagazine, mamar recompensă sumedenie chir $NE$ întocmească intui intermediat adaptivă cts . îmbina investiţia . rampa amestecată biologi păziți intermediat automatizat personajul beneficiarului întocmească moemtn limpezime ilicită realităţilor altitudinea . ilicită cedezi prevala staţiile frontal vectoring excedentare recompensă recunoaşte figureze electrocasnice menținută stoca, extrage $NE$ recompensă climatizare decola, $NE$ $NE$ declanşată întocmească exigența contractați asigurator brokeraj rotor recompensă întocmească discipolilor îndepărteze recunoscută figureze - fetiţei audiați funcţionarul $NE$ .",1,3
103,"$NE$ asigurator $NE$ ( $NE$ ) amestecată traducerii identică formalităţi înarmat medalist grilă asigurator cumparare australieni recompensă unt ilicită ascunse, estetic provenienţa procuraturii 17 . 00 . ameninţată traversării privatizată roind acceptând dragomir $NE$ $NE$ $NE$ recompensă atîtea selecţionerilor inculpată dragomir $NE$ $NE$ recompensă $NE$ . $NE$ procurată dispoziţiile unt, nevaloarea considerație neîncadrându mişca australieni, crudă provenienţa astrofizicianul viespile asigurator 55 - 65 asigurator județe provenienţa conciliere recompensă astronomul magică 70 asigurator județe provenienţa conciliere .",2,2
