subtaskID,datapointID,answer
1,img_0012,0
2,img_0012,"[0,0,0,0]"
1,img_0017,0
2,img_0017,"[0,0,0,0]"
1,img_0018,0
2,img_0018,"[0,0,0,0]"
1,img_0025,0
2,img_0025,"[0,0,0,0]"
1,img_0043,0
2,img_0043,"[0,0,0,0]"
1,img_0044,0
2,img_0044,"[0,0,0,0]"
1,img_0046,0
2,img_0046,"[0,0,0,0]"
1,img_0051,0
2,img_0051,"[0,0,0,0]"
1,img_0054,0
2,img_0054,"[0,0,0,0]"
1,img_0055,0
2,img_0055,"[0,0,0,0]"
1,img_0057,0
2,img_0057,"[0,0,0,0]"
1,img_0060,0
2,img_0060,"[0,0,0,0]"
1,img_0066,0
2,img_0066,"[0,0,0,0]"
1,img_0068,0
2,img_0068,"[0,0,0,0]"
1,img_0070,0
2,img_0070,"[0,0,0,0]"
1,img_0073,0
2,img_0073,"[0,0,0,0]"
1,img_0080,0
2,img_0080,"[0,0,0,0]"
1,img_0107,0
2,img_0107,"[0,0,0,0]"
1,img_0111,0
2,img_0111,"[0,0,0,0]"
1,img_0121,0
2,img_0121,"[0,0,0,0]"
1,img_0133,0
2,img_0133,"[0,0,0,0]"
1,img_0139,0
2,img_0139,"[0,0,0,0]"
1,img_0153,0
2,img_0153,"[0,0,0,0]"
1,img_0159,0
2,img_0159,"[0,0,0,0]"
1,img_0162,0
2,img_0162,"[0,0,0,0]"
1,img_0163,0
2,img_0163,"[0,0,0,0]"
1,img_0169,0
2,img_0169,"[0,0,0,0]"
1,img_0174,0
2,img_0174,"[0,0,0,0]"
1,img_0175,0
2,img_0175,"[0,0,0,0]"
1,img_0185,0
2,img_0185,"[0,0,0,0]"
1,img_0189,0
2,img_0189,"[0,0,0,0]"
1,img_0196,0
2,img_0196,"[0,0,0,0]"
1,img_0199,0
2,img_0199,"[0,0,0,0]"
1,img_0201,0
2,img_0201,"[0,0,0,0]"
1,img_0205,0
2,img_0205,"[0,0,0,0]"
1,img_0209,0
2,img_0209,"[0,0,0,0]"
1,img_0213,0
2,img_0213,"[0,0,0,0]"
1,img_0218,0
2,img_0218,"[0,0,0,0]"
1,img_0226,0
2,img_0226,"[0,0,0,0]"
1,img_0234,0
2,img_0234,"[0,0,0,0]"
1,img_0252,0
2,img_0252,"[0,0,0,0]"
1,img_0258,0
2,img_0258,"[0,0,0,0]"
1,img_0259,0
2,img_0259,"[0,0,0,0]"
1,img_0263,0
2,img_0263,"[0,0,0,0]"
1,img_0268,0
2,img_0268,"[0,0,0,0]"
1,img_0269,0
2,img_0269,"[0,0,0,0]"
1,img_0271,0
2,img_0271,"[0,0,0,0]"
1,img_0291,0
2,img_0291,"[0,0,0,0]"
1,img_0294,0
2,img_0294,"[0,0,0,0]"
1,img_0314,0
2,img_0314,"[0,0,0,0]"
1,img_0315,2
2,img_0315,"[0,0,0,0]"
1,img_0318,2
2,img_0318,"[0,0,0,0]"
1,img_0321,2
2,img_0321,"[0,0,0,0]"
1,img_0323,2
2,img_0323,"[0,0,0,0]"
1,img_0340,2
2,img_0340,"[0,0,0,0]"
1,img_0341,2
2,img_0341,"[0,0,0,0]"
1,img_0355,2
2,img_0355,"[0,0,0,0]"
1,img_0356,2
2,img_0356,"[0,0,0,0]"
1,img_0357,2
2,img_0357,"[0,0,0,0]"
1,img_0360,2
2,img_0360,"[0,0,0,0]"
1,img_0361,2
2,img_0361,"[0,0,0,0]"
1,img_0368,2
2,img_0368,"[0,0,0,0]"
1,img_0373,2
2,img_0373,"[0,0,0,0]"
1,img_0374,2
2,img_0374,"[0,0,0,0]"
1,img_0389,2
2,img_0389,"[0,0,0,0]"
1,img_0392,2
2,img_0392,"[0,0,0,0]"
1,img_0400,2
2,img_0400,"[0,0,0,0]"
1,img_0401,2
2,img_0401,"[0,0,0,0]"
1,img_0402,2
2,img_0402,"[0,0,0,0]"
1,img_0408,2
2,img_0408,"[0,0,0,0]"
1,img_0413,2
2,img_0413,"[0,0,0,0]"
1,img_0417,2
2,img_0417,"[0,0,0,0]"
1,img_0427,2
2,img_0427,"[0,0,0,0]"
1,img_0435,2
2,img_0435,"[0,0,0,0]"
1,img_0437,2
2,img_0437,"[0,0,0,0]"
1,img_0439,2
2,img_0439,"[0,0,0,0]"
1,img_0440,2
2,img_0440,"[0,0,0,0]"
1,img_0442,2
2,img_0442,"[0,0,0,0]"
1,img_0450,2
2,img_0450,"[0,0,0,0]"
1,img_0463,2
2,img_0463,"[0,0,0,0]"
1,img_0466,2
2,img_0466,"[0,0,0,0]"
1,img_0468,2
2,img_0468,"[0,0,0,0]"
1,img_0471,2
2,img_0471,"[0,0,0,0]"
1,img_0472,2
2,img_0472,"[0,0,0,0]"
1,img_0480,2
2,img_0480,"[0,0,0,0]"
1,img_0495,2
2,img_0495,"[0,0,0,0]"
1,img_0499,2
2,img_0499,"[0,0,0,0]"
1,img_0506,2
2,img_0506,"[0,0,0,0]"
1,img_0517,2
2,img_0517,"[0,0,0,0]"
1,img_0534,2
2,img_0534,"[0,0,0,0]"
1,img_0538,2
2,img_0538,"[0,0,0,0]"
1,img_0539,2
2,img_0539,"[0,0,0,0]"
1,img_0541,2
2,img_0541,"[0,0,0,0]"
1,img_0546,2
2,img_0546,"[0,0,0,0]"
1,img_0553,2
2,img_0553,"[0,0,0,0]"
1,img_0555,2
2,img_0555,"[0,0,0,0]"
1,img_0560,2
2,img_0560,"[0,0,0,0]"
1,img_0562,2
2,img_0562,"[0,0,0,0]"
1,img_0566,2
2,img_0566,"[0,0,0,0]"
1,img_0567,2
2,img_0567,"[0,0,0,0]"
1,img_0568,2
2,img_0568,"[0,0,0,0]"
1,img_0571,2
2,img_0571,"[0,0,0,0]"
1,img_0582,2
2,img_0582,"[0,0,0,0]"
1,img_0584,2
2,img_0584,"[0,0,0,0]"
1,img_0585,2
2,img_0585,"[0,0,0,0]"
1,img_0591,2
2,img_0591,"[0,0,0,0]"
1,img_0597,2
2,img_0597,"[0,0,0,0]"
1,img_0599,2
2,img_0599,"[0,0,0,0]"
1,img_0608,2
2,img_0608,"[0,0,0,0]"
1,img_0615,2
2,img_0615,"[0,0,0,0]"
1,img_0617,2
2,img_0617,"[0,0,0,0]"
1,img_0619,2
2,img_0619,"[0,0,0,0]"
1,img_0620,2
2,img_0620,"[0,0,0,0]"
1,img_0625,2
2,img_0625,"[0,0,0,0]"
1,img_0626,2
2,img_0626,"[0,0,0,0]"
1,img_0627,2
2,img_0627,"[0,0,0,0]"
1,img_0632,2
2,img_0632,"[0,0,0,0]"
1,img_0633,2
2,img_0633,"[0,0,0,0]"
1,img_0634,2
2,img_0634,"[0,0,0,0]"
1,img_0639,2
2,img_0639,"[0,0,0,0]"
1,img_0649,2
2,img_0649,"[0,0,0,0]"
1,img_0650,2
2,img_0650,"[0,0,0,0]"
1,img_0653,2
2,img_0653,"[0,0,0,0]"
1,img_0659,2
2,img_0659,"[0,0,0,0]"
1,img_0660,2
2,img_0660,"[0,0,0,0]"
1,img_0661,2
2,img_0661,"[0,0,0,0]"
1,img_0668,2
2,img_0668,"[0,0,0,0]"
1,img_0669,2
2,img_0669,"[0,0,0,0]"
1,img_0672,2
2,img_0672,"[0,0,0,0]"
1,img_0678,2
2,img_0678,"[0,0,0,0]"
1,img_0679,2
2,img_0679,"[0,0,0,0]"
